Common.Name,Scientific.Name,Code,Audubon.Habitat.Guild,Habitat,Start.Date,End.Date,Type,Vagrant,Group,Background,Threshold,Drop.BCR,Drop.from.M,Add.to.M,BCR.Mask,Season,Generation.Time,Dispersal.Distance,Dispersal.Rate
Brown-crested Flycatcher,Myiarchus tyrannulus,BCFL,Wd,"F-W,D",1,60,two-season,2,Aridlands,background_jan_feb,mk,,,,,Non-Breeding,,,
Brown-headed Cowbird,Molothrus ater,BHCO,Var,GEN,1,60,two-season,2,Generalists,background_jan_feb,om_10,"6,8,9,10,16,17",,,,Non-Breeding,,,
Brown-headed Nuthatch,Sitta pusilla,BHNU,Wd,F-E,1,366,resident,2,Eastern.Forests,background_jan_dec,tss,,,,"16,19,22,33,34,35,43,45,46,47,48,49,51,52,53,54,58,60",Non-Breeding,,,
Buff-bellied Hummingbird,Amazilia yucatanensis,BBEH,Wd,F-S,335,1,two-season,2,Subtropical.Forests,background_jan_dec,mo,,,,"33,34,43,44,45,53,60,61",Non-Breeding,,,
Bufflehead,Bucephala albeola,BUFF,Wet,F-B,1,60,two-season,2,Waterbirds,background_jan_feb,om_10,,,,,Non-Breeding,,,
Bullock's Oriole,Icterus bullockii,BUOR,Wd,F-W,1,60,two-season,2,Western.Forests,background_jan_feb,tss,"5,27,28,29,14,8,37,20,21,32,26,30",,,"55,56",Non-Breeding,,,
Burrowing Owl,Athene cunicularia,BUOW,Gr,"G,D",335,32,two-season,2,Grasslands,background_jan_feb,tss,,,,,Non-Breeding,,,
Bushtit,Psaltriparus minimus,BUSH,Var,F-W,1,366,resident,2,Western.Forests,background_jan_dec,tss,,,,,Non-Breeding,,,
Cackling Goose,Branta hutchinsii,CACG,Wet,GEN,1,60,two-season,2,Marshlands,background_jan_feb,tss,,,,"33, 34, 35, 36, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66",Non-Breeding,,,
Cactus Wren,Campylorhynchus brunneicapillus,CACW,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,eq,,,,"50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61",Non-Breeding,,,
California Gnatcatcher,Polioptila californica,CAGN,Sh,D,1,366,resident,10,Aridlands,background_jan_dec,om_10,,5,"34, 35, 43","34, 35, 36, 43, 45, 46, 47, 48, 50, 51, 53, 54",Non-Breeding,,,
California Gull,Larus californicus,CAGU,Wet,GEN,1,60,two-season,2,Waterbirds,background_jan_feb,eq,"31,6,19,21,34,24,30,37,17,100",,,,Non-Breeding,,,
California Quail,Callipepla californica,CAQU,Sh,D,1,366,resident,3,Aridlands,background_jan_dec,mo,,,,,Non-Breeding,,,
California Scrub-Jay,Aphelocoma californica,CASJ,Sh,F-W,1,366,resident,2,Western.Forests,background_jan_dec,mk,"9,10,15,16,33,34",,,"9,10,15,16,18,19,20,21,33,34,35,36,38,39,43,44,45,46,47,48,49,50,51,52,53,54,59",Non-Breeding,,,
California Thrasher,Toxostoma redivivum,CATH,Sh,D,1,366,resident,2,Aridlands,background_jan_dec,tss,"5, 33",,,"16, 18, 19, 20, 33, 34, 35, 36, 42, 43, 45, 46, 47, 48, 50, 51, 52, 53, 54",Non-Breeding,,,
